strLeague,strSeason,strEvent,strHomeTeam,intHomeScore,strAwayTeam,intAwayScore,homeClassment,awayClassment
French Ligue 1,2022-2023,Angers vs Auxerre,Angers,1,Auxerre,1,20.0,17.0
French Ligue 2,2014-2015,Angers vs Auxerre,Angers,0,Auxerre,0,,
French Ligue 1,2022-2023,Angers vs Brest,Angers,1,Brest,3,20.0,14.0
French Ligue 1,2021-2022,Angers vs Brest,Angers,1,Brest,0,14.0,11.0
French Ligue 1,2020-2021,Angers vs Brest,Angers,3,Brest,2,13.0,17.0
French Ligue 1,2019-2020,Angers vs Brest,Angers,0,Brest,1,20.0,16.0
French Ligue 2,2014-2015,Angers vs Brest,Angers,1,Brest,2,,
French Ligue 2,2014-2015,Angers vs Le Havre,Angers,1,Le Havre,0,,
French Ligue 1,2022-2023,Angers vs Lens,Angers,1,Lens,2,20.0,2.0
French Ligue 1,2021-2022,Angers vs Lens,Angers,1,Lens,2,14.0,7.0
French Ligue 1,2020-2021,Angers vs Lens,Angers,2,Lens,2,13.0,7.0
French Ligue 1,2022-2023,Angers vs Lille,Angers,1,Lille,0,20.0,5.0
French Ligue 1,2021-2022,Angers vs Lille,Angers,1,Lille,1,14.0,10.0
French Ligue 1,2020-2021,Angers vs Lille,Angers,1,Lille,2,13.0,1.0
French Ligue 1,2019-2020,Angers vs Lille,Angers,0,Lille,2,20.0,6.0
French Ligue 1,2018-2019,Angers vs Lille,Angers,1,Lille,0,13.0,2.0
French Ligue 1,2017-2018,Angers vs Lille,Angers,1,Lille,1,18.0,16.0
French Ligue 1,2016-2017,Angers vs Lille,Angers,1,Lille,0,20.0,6.0
French Ligue 1,2015-2016,Angers vs Lille,Angers,2,Lille,0,9.0,5.0
French Ligue 1,2022-2023,Angers vs Lyon,Angers,1,Lyon,3,20.0,7.0
French Ligue 1,2021-2022,Angers vs Lyon,Angers,3,Lyon,0,14.0,8.0
French Ligue 1,2020-2021,Angers vs Lyon,Angers,0,Lyon,1,13.0,4.0
French Ligue 1,2018-2019,Angers vs Lyon,Angers,1,Lyon,2,13.0,3.0
French Ligue 1,2017-2018,Angers vs Lyon,Angers,3,Lyon,3,18.0,4.0
French Ligue 1,2016-2017,Angers vs Lyon,Angers,1,Lyon,2,20.0,10.0
French Ligue 1,2015-2016,Angers vs Lyon,Angers,0,Lyon,3,9.0,2.0
French Ligue 1,2022-2023,Angers vs Marseille,Angers,0,Marseille,3,20.0,3.0
French Ligue 1,2021-2022,Angers vs Marseille,Angers,0,Marseille,0,14.0,2.0
French Ligue 1,2020-2021,Angers vs Marseille,Angers,2,Marseille,1,13.0,5.0
French Ligue 1,2019-2020,Angers vs Marseille,Angers,0,Marseille,2,20.0,2.0
French Ligue 1,2018-2019,Angers vs Marseille,Angers,1,Marseille,1,13.0,5.0
French Ligue 1,2017-2018,Angers vs Marseille,Angers,1,Marseille,1,18.0,3.0
French Ligue 1,2016-2017,Angers vs Marseille,Angers,1,Marseille,1,20.0,2.0
French Ligue 1,2015-2016,Angers vs Marseille,Angers,0,Marseille,1,9.0,13.0
French Ligue 1,2022-2023,Angers vs Monaco,Angers,1,Monaco,2,20.0,6.0
French Ligue 1,2021-2022,Angers vs Monaco,Angers,1,Monaco,3,14.0,3.0
French Ligue 1,2020-2021,Angers vs Monaco,Angers,0,Monaco,1,13.0,3.0
French Ligue 1,2019-2020,Angers vs Monaco,Angers,0,Monaco,0,20.0,4.0
French Ligue 1,2018-2019,Angers vs Monaco,Angers,2,Monaco,2,13.0,17.0
French Ligue 1,2017-2018,Angers vs Monaco,Angers,0,Monaco,4,18.0,2.0
French Ligue 1,2016-2017,Angers vs Monaco,Angers,0,Monaco,1,20.0,4.0
French Ligue 1,2015-2016,Angers vs Monaco,Angers,3,Monaco,0,9.0,3.0
French Ligue 1,2022-2023,Angers vs Montpellier,Angers,2,Montpellier,1,20.0,12.0
French Ligue 1,2021-2022,Angers vs Montpellier,Angers,2,Montpellier,0,14.0,13.0
French Ligue 1,2020-2021,Angers vs Montpellier,Angers,1,Montpellier,1,13.0,8.0
French Ligue 1,2019-2020,Angers vs Montpellier,Angers,1,Montpellier,0,20.0,13.0
