strLeague,strSeason,strEvent,strHomeTeam,intHomeScore,strAwayTeam,intAwayScore,homeClassment,awayClassment
German Bundesliga,2023-2024,Bayer Leverkusen vs Bayern Munich,Leverkusen,3,Bayern Munich,0,,3.0
German Bundesliga,2023-2024,Bayer Leverkusen vs Bochum,Leverkusen,4,Bochum,0,,16.0
German Bundesliga,2023-2024,Bayer Leverkusen vs Borussia Dortmund,Leverkusen,1,Dortmund,1,,
German Bundesliga,2023-2024,Bayer Leverkusen vs Borussia Mönchengladbach,Leverkusen,0,Mönchengladbach,0,,
German Bundesliga,2012-2013,Bayer Leverkusen vs Borussia Monchengladbach,Bayer Leverkusen,1,Borussia Monchengladbach,1,,
German Bundesliga,2023-2024,Bayer Leverkusen vs Eintracht Frankfurt,Leverkusen,3,Ein Frankfurt,0,,
German Bundesliga,2023-2024,Bayer Leverkusen vs FC Augsburg,Leverkusen,2,Augsburg,1,,
German Bundesliga,2023-2024,Bayer Leverkusen vs FC Heidenheim,Leverkusen,4,FC Heidenheim,1,,8.0
German Bundesliga,2023-2024,Bayer Leverkusen vs Freiburg,Leverkusen,2,Freiburg,1,,10.0
German Bundesliga,2023-2024,Bayer Leverkusen vs Hoffenheim,Leverkusen,2,Hoffenheim,1,,7.0
German Bundesliga,2023-2024,Bayer Leverkusen vs Mainz,Leverkusen,2,Mainz,1,,13.0
German Bundesliga,2023-2024,Bayer Leverkusen vs RB Leipzig,Leverkusen,3,RasenBallsport Leipzig,2,,
DFB-Pokal,2023-2024,Bayer Leverkusen vs Stuttgart,Leverkusen,3,Stuttgart,2,,2.0
German Bundesliga,2023-2024,Bayer Leverkusen vs Stuttgart,Leverkusen,2,Stuttgart,2,,2.0
German Bundesliga,2023-2024,Bayer Leverkusen vs Union Berlin,Leverkusen,4,Union Berlin,0,,15.0
German Bundesliga,2023-2024,Bayer Leverkusen vs Werder Bremen,Leverkusen,5,Werder Bremen,0,,9.0
German Bundesliga,2023-2024,Bayer Leverkusen vs Wolfsburg,Leverkusen,2,Wolfsburg,0,,12.0
German Bundesliga,2023-2024,Bayern Munich vs Bayer Leverkusen,Bayern Munich,2,Leverkusen,2,3.0,
German Bundesliga,2023-2024,Bayern Munich vs Bochum,Bayern Munich,7,Bochum,0,3.0,16.0
German Bundesliga,2022-2023,Bayern Munich vs Bochum,Bayern Munich,3,Bochum,0,1.0,14.0
German Bundesliga,2021-2022,Bayern Munich vs Bochum,Bayern Munich,7,Bochum,0,1.0,13.0
German Bundesliga,2023-2024,Bayern Munich vs Borussia Dortmund,Bayern Munich,0,Dortmund,2,3.0,
German Bundesliga,2023-2024,Bayern Munich vs Borussia Mönchengladbach,Bayern Munich,3,Mönchengladbach,1,3.0,
German Bundesliga,2023-2024,Bayern Munich vs Eintracht Frankfurt,Bayern Munich,2,Ein Frankfurt,1,3.0,
German Bundesliga,2023-2024,Bayern Munich vs FC Augsburg,Bayern Munich,3,Augsburg,1,3.0,
German Bundesliga,2023-2024,Bayern Munich vs FC Heidenheim,Bayern Munich,4,FC Heidenheim,2,3.0,8.0
DFB-Pokal,2018-2019,Bayern Munich vs FC Heidenheim,Bayern Munich,5,FC Heidenheim,4,1.0,
German Bundesliga,2023-2024,Bayern Munich vs Freiburg,Bayern Munich,3,Freiburg,0,3.0,10.0
DFB-Pokal,2022-2023,Bayern Munich vs Freiburg,Bayern Munich,1,Freiburg,2,1.0,5.0
German Bundesliga,2022-2023,Bayern Munich vs Freiburg,Bayern Munich,5,Freiburg,0,1.0,5.0
German Bundesliga,2021-2022,Bayern Munich vs Freiburg,Bayern Munich,2,Freiburg,1,1.0,6.0
German Bundesliga,2020-2021,Bayern Munich vs Freiburg,Bayern Munich,2,Freiburg,1,1.0,10.0
German Bundesliga,2019-2020,Bayern Munich vs Freiburg,Bayern Munich,3,Freiburg,1,1.0,8.0
German Bundesliga,2018-2019,Bayern Munich vs Freiburg,Bayern Munich,1,Freiburg,1,1.0,13.0
German Bundesliga,2017-2018,Bayern Munich vs Freiburg,Bayern Munich,5,Freiburg,0,1.0,12.0
