strLeague,strSeason,strEvent,strHomeTeam,intHomeScore,strAwayTeam,intAwayScore,homeClassment,awayClassment
Coppa Italia,2023-2024,AC Milan vs Atalanta,Milan,1,Atalanta,2,,4.0
Italian Serie A,2023-2024,AC Milan vs Atalanta,Milan,1,Atalanta,1,,4.0
Italian Serie A,2012-2013,AC Milan vs Atalanta,AC Milan,0,Atalanta,1,,15.0
Italian Serie A,2023-2024,AC Milan vs Bologna,Milan,2,Bologna,2,,5.0
Coppa Italia,2023-2024,AC Milan vs Cagliari,Milan,4,Cagliari,1,,16.0
Italian Serie A,2023-2024,AC Milan vs Cagliari,Milan,5,Cagliari,1,,16.0
Italian Serie A,2012-2013,AC Milan vs Cagliari,AC Milan,2,Cagliari,0,,11.0
Italian Serie A,2023-2024,AC Milan vs Empoli,Milan,1,Empoli,0,,17.0
Italian Serie A,2023-2024,AC Milan vs Fiorentina,Milan,1,Fiorentina,0,,8.0
Italian Serie A,2023-2024,AC Milan vs Genoa,Milan,3,Genoa,3,,11.0
Italian Serie A,2023-2024,AC Milan vs Inter Milan,Milan,1,Inter,2,,
Italian Serie A,2023-2024,AC Milan vs Juventus,Milan,0,Juventus,1,,3.0
Italian Serie A,2023-2024,AC Milan vs Lazio,Milan,2,Lazio,0,,7.0
Italian Serie A,2023-2024,AC Milan vs Lecce,Milan,3,Lecce,0,,14.0
Italian Serie A,2023-2024,AC Milan vs Monza,Milan,3,Monza,0,,12.0
Italian Serie A,2023-2024,AC Milan vs Napoli,Milan,1,Napoli,0,,10.0
UEFA Europa League,2023-2024,AC Milan vs Roma,Milan,0,Roma,1,,6.0
Italian Serie A,2023-2024,AC Milan vs Roma,Milan,3,Roma,1,,6.0
Italian Serie A,2023-2024,AC Milan vs Torino,Milan,4,Torino,1,,9.0
Italian Serie A,2023-2024,AC Milan vs Udinese,Milan,0,Udinese,1,,15.0
Italian Serie A,2023-2024,AC Milan vs Verona,Milan,1,Verona,0,,13.0
Italian Serie A,2023-2024,Atalanta vs AC Milan,Atalanta,3,Milan,2,4.0,
Italian Serie A,2023-2024,Atalanta vs Bologna,Atalanta,1,Bologna,2,4.0,5.0
Italian Serie A,2022-2023,Atalanta vs Bologna,Atalanta,0,Bologna,2,5.0,9.0
Italian Serie A,2021-2022,Atalanta vs Bologna,Atalanta,0,Bologna,0,8.0,13.0
Italian Serie A,2020-2021,Atalanta vs Bologna,Atalanta,5,Bologna,0,3.0,12.0
Italian Serie A,2019-2020,Atalanta vs Bologna,Atalanta,1,Bologna,0,3.0,12.0
Italian Serie A,2018-2019,Atalanta vs Bologna,Atalanta,4,Bologna,1,3.0,10.0
Italian Serie A,2017-2018,Atalanta vs Bologna,Atalanta,1,Bologna,0,8.0,13.0
Italian Serie A,2016-2017,Atalanta vs Bologna,Atalanta,3,Bologna,2,4.0,15.0
Italian Serie A,2015-2016,Atalanta vs Bologna,Atalanta,2,Bologna,0,13.0,14.0
Italian Serie A,2012-2013,Atalanta vs Bologna,Atalanta,1,Bologna,1,15.0,13.0
Italian Serie A,2013-2014,Atalanta vs Bologna,Atalanta,2,Bologna,1,11.0,19.0
Italian Serie A,2023-2024,Atalanta vs Cagliari,Atalanta,2,Cagliari,0,4.0,16.0
Italian Serie A,2021-2022,Atalanta vs Cagliari,Atalanta,1,Cagliari,2,8.0,18.0
Coppa Italia,2020-2021,Atalanta vs Cagliari,Atalanta,3,Cagliari,1,3.0,16.0
Italian Serie A,2020-2021,Atalanta vs Cagliari,Atalanta,5,Cagliari,2,3.0,16.0
Italian Serie A,2019-2020,Atalanta vs Cagliari,Atalanta,0,Cagliari,2,3.0,14.0
Italian Serie A,2018-2019,Atalanta vs Cagliari,Atalanta,0,Cagliari,1,3.0,15.0
Italian Serie A,2017-2018,Atalanta vs Cagliari,Atalanta,1,Cagliari,2,8.0,14.0
Italian Serie A,2016-2017,Atalanta vs Cagliari,Atalanta,2,Cagliari,0,4.0,12.0
Italian Serie A,2013-2014,Atalanta vs Cagliari,Atalanta,1,Cagliari,0,11.0,15.0
Italian Serie A,2014-2015,Atalanta vs Cagliari,Atalanta,2,Cagliari,1,17.0,18.0
Italian Serie A,2023-2024,Atalanta vs Empoli,Atalanta,2,Empoli,0,4.0,17.0
Italian Serie A,2022-2023,Atalanta vs Empoli,Atalanta,2,Empoli,1,5.0,14.0
Italian Serie A,2021-2022,Atalanta vs Empoli,Atalanta,0,Empoli,1,8.0,14.0
Italian Serie A,2018-2019,Atalanta vs Empoli,Atalanta,0,Empoli,0,3.0,18.0
Italian Serie A,2016-2017,Atalanta vs Empoli,Atalanta,2,Empoli,1,4.0,18.0
Italian Serie A,2015-2016,Atalanta vs Empoli,Atalanta,0,Empoli,0,13.0,11.0
Italian Serie A,2014-2015,Atalanta vs Empoli,Atalanta,2,Empoli,2,17.0,15.0
Coppa Italia,2023-2024,Atalanta vs Fiorentina,Atalanta,4,Fiorentina,1,4.0,8.0
Italian Serie A,2023-2024,Atalanta vs Fiorentina,Atalanta,2,Fiorentina,3,4.0,8.0
Italian Serie A,2022-2023,Atalanta vs Fiorentina,Atalanta,1,Fiorentina,0,5.0,8.0
Coppa Italia,2021-2022,Atalanta vs Fiorentina,Fiorentina,2,Atalanta,3,7.0,8.0
Italian Serie A,2021-2022,Atalanta vs Fiorentina,Atalanta,1,Fiorentina,2,8.0,7.0
Italian Serie A,2020-2021,Atalanta vs Fiorentina,Atalanta,3,Fiorentina,0,3.0,13.0
Italian Serie A,2019-2020,Atalanta vs Fiorentina,Atalanta,2,Fiorentina,2,3.0,10.0
Coppa Italia,2018-2019,Atalanta vs Fiorentina,Atalanta,2,Fiorentina,1,3.0,16.0
Italian Serie A,2018-2019,Atalanta vs Fiorentina,Atalanta,3,Fiorentina,1,3.0,16.0
Italian Serie A,2017-2018,Atalanta vs Fiorentina,Atalanta,1,Fiorentina,1,8.0,11.0
Italian Serie A,2016-2017,Atalanta vs Fiorentina,Atalanta,0,Fiorentina,0,4.0,8.0
Italian Serie A,2015-2016,Atalanta vs Fiorentina,Atalanta,2,Fiorentina,3,13.0,5.0
Italian Serie A,2012-2013,Atalanta vs Fiorentina,Atalanta,0,Fiorentina,2,15.0,4.0
Italian Serie A,2013-2014,Atalanta vs Fiorentina,Atalanta,0,Fiorentina,2,11.0,4.0
Italian Serie A,2014-2015,Atalanta vs Fiorentina,Atalanta,0,Fiorentina,1,17.0,4.0
Italian Serie A,2023-2024,Atalanta vs Genoa,Atalanta,2,Genoa,0,4.0,11.0
Italian Serie A,2021-2022,Atalanta vs Genoa,Atalanta,0,Genoa,0,8.0,19.0
Italian Serie A,2020-2021,Atalanta vs Genoa,Atalanta,0,Genoa,0,3.0,11.0
Italian Serie A,2019-2020,Atalanta vs Genoa,Atalanta,2,Genoa,2,3.0,17.0
Italian Serie A,2018-2019,Atalanta vs Genoa,Atalanta,2,Genoa,1,3.0,17.0
Italian Serie A,2017-2018,Atalanta vs Genoa,Atalanta,3,Genoa,1,8.0,12.0
Italian Serie A,2016-2017,Atalanta vs Genoa,Atalanta,3,Genoa,0,4.0,16.0
Italian Serie A,2015-2016,Atalanta vs Genoa,Atalanta,0,Genoa,2,13.0,10.0
Italian Serie A,2012-2013,Atalanta vs Genoa,Atalanta,0,Genoa,1,15.0,17.0
Italian Serie A,2013-2014,Atalanta vs Genoa,Atalanta,1,Genoa,1,11.0,13.0
Italian Serie A,2014-2015,Atalanta vs Genoa,Atalanta,1,Genoa,4,17.0,6.0
Italian Serie A,2023-2024,Atalanta vs Inter Milan,Atalanta,1,Inter,2,4.0,
Coppa Italia,2023-2024,Atalanta vs Juventus,Atalanta,0,Juventus,1,4.0,3.0
Italian Serie A,2023-2024,Atalanta vs Juventus,Atalanta,0,Juventus,0,4.0,3.0
Italian Serie A,2022-2023,Atalanta vs Juventus,Atalanta,0,Juventus,2,5.0,7.0
Italian Serie A,2021-2022,Atalanta vs Juventus,Atalanta,1,Juventus,1,8.0,4.0
Coppa Italia,2020-2021,Atalanta vs Juventus,Atalanta,1,Juventus,2,3.0,4.0
Italian Serie A,2020-2021,Atalanta vs Juventus,Atalanta,1,Juventus,0,3.0,4.0
