strLeague,strSeason,strEvent,strHomeTeam,intHomeScore,strAwayTeam,intAwayScore,homeClassment,awayClassment
Spanish Adelante,2015-2016,Alaves vs Athletic Bilbao B,Alaves,3,Athletic Bilbao B,0,,
Spanish La Liga,2021-2022,Alaves vs Barcelona,Alaves,0,Barcelona,1,20.0,2.0
Spanish La Liga,2020-2021,Alaves vs Barcelona,Alaves,1,Barcelona,1,16.0,3.0
Spanish La Liga,2019-2020,Alaves vs Barcelona,Alaves,0,Barcelona,5,16.0,2.0
Spanish La Liga,2018-2019,Alaves vs Barcelona,Alaves,0,Barcelona,2,11.0,1.0
Spanish La Liga,2017-2018,Alaves vs Barcelona,Alaves,0,Barcelona,2,16.0,1.0
Spanish La Liga,2016-2017,Alaves vs Barcelona,Alaves,0,Barcelona,6,9.0,2.0
Spanish Adelante,2014-2015,Alaves vs Barcelona B,Alaves,2,Barcelona B,3,,
Spanish La Liga,2021-2022,Alaves vs Celta Vigo,Alaves,1,Celta Vigo,2,20.0,11.0
Spanish La Liga,2020-2021,Alaves vs Celta Vigo,Alaves,1,Celta Vigo,3,16.0,8.0
Spanish La Liga,2019-2020,Alaves vs Celta Vigo,Alaves,2,Celta Vigo,0,16.0,17.0
Spanish La Liga,2018-2019,Alaves vs Celta Vigo,Alaves,0,Celta Vigo,0,11.0,17.0
Spanish La Liga,2017-2018,Alaves vs Celta Vigo,Alaves,2,Celta Vigo,1,16.0,9.0
Spanish La Liga,2016-2017,Alaves vs Celta Vigo,Alaves,3,Celta Vigo,1,9.0,13.0
Spanish La Liga,2021-2022,Alaves vs Getafe,Alaves,1,Getafe,1,20.0,15.0
Spanish La Liga,2020-2021,Alaves vs Getafe,Alaves,0,Getafe,0,16.0,15.0
Spanish La Liga,2019-2020,Alaves vs Getafe,Alaves,0,Getafe,0,16.0,8.0
Spanish La Liga,2018-2019,Alaves vs Getafe,Alaves,1,Getafe,1,11.0,5.0
Spanish La Liga,2017-2018,Alaves vs Getafe,Alaves,2,Getafe,0,16.0,11.0
Copa del Rey,2018-2019,Alaves vs Girona,Alaves,2,Girona,2,11.0,18.0
Spanish La Liga,2018-2019,Alaves vs Girona,Alaves,2,Girona,1,11.0,18.0
Spanish La Liga,2017-2018,Alaves vs Girona,Alaves,1,Girona,2,16.0,10.0
Spanish Adelante,2015-2016,Alaves vs Girona,Alaves,1,Girona,0,,
Spanish Adelante,2014-2015,Alaves vs Girona,Alaves,0,Girona,3,,
Spanish La Liga 2,2022-2023,Alaves vs Las Palmas,Alaves,1,Las Palmas,1,,
Spanish La Liga,2017-2018,Alaves vs Las Palmas,Alaves,2,Las Palmas,0,16.0,18.0
Spanish La Liga,2016-2017,Alaves vs Las Palmas,Alaves,1,Las Palmas,1,9.0,14.0
Spanish Adelante,2014-2015,Alaves vs Las Palmas,Alaves,1,Las Palmas,1,,
Spanish La Liga 2,2022-2023,Alaves vs Leganes,Alaves,2,Leganes,1,,
Spanish La Liga,2019-2020,Alaves vs Leganes,Alaves,1,Leganes,1,16.0,18.0
Spanish La Liga,2018-2019,Alaves vs Leganes,Alaves,1,Leganes,1,11.0,13.0
Spanish La Liga,2017-2018,Alaves vs Leganes,Alaves,2,Leganes,2,16.0,12.0
Spanish La Liga,2016-2017,Alaves vs Leganes,Alaves,2,Leganes,2,9.0,17.0
Spanish Adelante,2015-2016,Alaves vs Leganes,Alaves,0,Leganes,0,,
Spanish Adelante,2014-2015,Alaves vs Leganes,Alaves,2,Leganes,0,,
Spanish La Liga,2021-2022,Alaves vs Mallorca,Alaves,0,Mallorca,1,20.0,16.0
Spanish La Liga,2019-2020,Alaves vs Mallorca,Alaves,2,Mallorca,0,16.0,19.0
Spanish Adelante,2015-2016,Alaves vs Mallorca,Alaves,1,Mallorca,0,,
Spanish Adelante,2014-2015,Alaves vs Mallorca,Alaves,2,Mallorca,0,,
Spanish La Liga,2021-2022,Alaves vs Osasuna,Alaves,0,Osasuna,2,20.0,10.0
Spanish La Liga,2020-2021,Alaves vs Osasuna,Alaves,0,Osasuna,1,16.0,11.0
Spanish La Liga,2019-2020,Alaves vs Osasuna,Alaves,0,Osasuna,1,16.0,10.0
Spanish La Liga,2016-2017,Alaves vs Osasuna,Alaves,0,Osasuna,1,9.0,19.0
Spanish Adelante,2015-2016,Alaves vs Osasuna,Alaves,3,Osasuna,0,,
Spanish Adelante,2014-2015,Alaves vs Osasuna,Alaves,3,Osasuna,0,,
Spanish La Liga,2021-2022,Alaves vs Real Madrid,Alaves,1,Real Madrid,4,20.0,1.0
Spanish La Liga,2020-2021,Alaves vs Real Madrid,Alaves,1,Real Madrid,4,16.0,2.0
Spanish La Liga,2019-2020,Alaves vs Real Madrid,Alaves,1,Real Madrid,2,16.0,1.0
Spanish La Liga,2018-2019,Alaves vs Real Madrid,Alaves,1,Real Madrid,0,11.0,3.0
Spanish La Liga,2017-2018,Alaves vs Real Madrid,Alaves,1,Real Madrid,2,16.0,4.0
Spanish La Liga,2016-2017,Alaves vs Real Madrid,Alaves,1,Real Madrid,4,9.0,1.0
